source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Pepper Mills,15850251,Pepper Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Pepper Mills,B0BXFSJ3KY,,"Alexander Home Original Greek Pepper Mill, 9-Inch Brass - European Manual Pepper Grinder, Refillable",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Pepper Mills,US,67.0,18.76,5.36,5.72,0.15,541.0,117.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BXFSJ3KY; brand Alexander Home,https://www.amazon.com/dp/B0BXFSJ3KY,67.3,Watch or collect more data,27.11,0.4046,14666.51,87.3,52.8,80.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Salt Mills,15850271,Salt Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,B0BXFPJJC2,,"Alexander Home Original Greek Salt Mill, 8-Inch Brass– European Manual Salt Grinder Refillable",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,US,69.9,19.57,5.59,4.88,0.15,493.0,128.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BXFPJJC2; brand Alexander Home,https://www.amazon.com/dp/B0BXFPJJC2,65.2,Watch or collect more data,29.38,0.4202,14481.88,86.1,46.8,82.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Salt Mills,15850271,Salt Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,B0968DH592,,"Alexander Home Original Greek Salt Mill, 8-Inch Brass – European Manual Salt Grinder Refillable",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Salt Mills,US,62.99,17.64,5.04,4.88,0.15,1614.0,268.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0968DH592; brand Alexander Home,https://www.amazon.com/dp/B0968DH592,61.5,Watch or collect more data,25.98,0.4125,41934.14,87.3,36.8,81.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Camping Stoves,19450136011,Camping Stoves,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Camping Stoves,B0DGTJPVZ2,,"Fire-Maple Greenpeak 2 Camping Stove with Regulator Portable Gas Stoves | Pressure Regulator, Piezo Igniter, Micro Windshield, Adjustable Pot Support, Fast Boiling, Fuel Efficient Design, 95g (3.4oz)",Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Camping Stoves,US,29.7,8.32,2.38,4.17,0.15,1090.0,149.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DGTJPVZ2; brand Fire-Maple,https://www.amazon.com/dp/B0DGTJPVZ2,59.7,Watch or collect more data,10.38,0.3493,11308.75,87.3,50.8,44.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0FXG8J58Q,,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,46.99,13.16,3.76,7.77,0.15,981.0,153.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FXG8J58Q; brand TOOLEAGUE,https://www.amazon.com/dp/B0FXG8J58Q,59.4,Watch or collect more data,15.25,0.3246,14961.72,87.3,46.8,50.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Sponge Mops,23537024011,Sponge Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,B0FMDXCL36,,"LOLA Squeezematic Butterfly Automatic Sponge Mop, 4 Mop Heads - 2 Foam w/ Cellulose Layer & 2 All Foam, 9“ Head w/ Scuff Remover",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,US,41.88,11.73,3.35,8.7,0.15,1422.0,136.0,3.7,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FMDXCL36; brand LOLA,https://www.amazon.com/dp/B0FMDXCL36,59.3,Watch or collect more data,11.82,0.2822,16805.2,87.3,52.8,37.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0D2JDXBNS,,"Quick Draw Shoulder Holster - Belly Band Holster for Everyday Comfortable Concealed Carry for Small, Compact and Other Similar Gear",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,19.89,5.57,1.59,4.19,0.15,655.0,44.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D2JDXBNS; brand LIBOSHENG,https://www.amazon.com/dp/B0D2JDXBNS,58.5,Watch or collect more data,5.56,0.2794,3639.51,87.3,63.3,12.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0CBD4HTHW,,"Spider Tool Holster, Self-Locking Pro Tool Holster, Includes 2 Drill Pins | Quick-Draw Multi Tool Holder, Clips to Any Tool Belt, Ambidextrous Lock, Compatible with Major Power Drill & Driver Brands",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,34.99,9.8,2.8,3.93,0.15,815.0,390.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CBD4HTHW; brand Spider,https://www.amazon.com/dp/B0CBD4HTHW,57.7,Watch or collect more data,13.21,0.3776,10767.37,87.3,40.8,53.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
"category:Pots, Pans & Griddles",3258961011,"Pots, Pans & Griddles","Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Camping Cookware > Pots, Pans & Griddles",B0F8B9FG3J,,"THTYBROS 27pcs Camping Cooking Set for 2-4 People, Portable Cookware Set with Kettle, Pots & Pans, Stainless Steel Utensils, Plates, Dishware for Backpacking, Picnic, Outdoor Adventures","Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Camping Cookware > Pots, Pans & Griddles",US,49.99,14.0,4.0,8.06,0.15,679.0,281.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F8B9FG3J; brand THTYBROS,https://www.amazon.com/dp/B0F8B9FG3J,57.7,Watch or collect more data,16.43,0.3287,11156.99,87.3,40.8,53.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Raised Toilet Seats,3775401,Raised Toilet Seats,Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures > Bathroom Safety & Accessibility > Toilets & Toilet Aids > Raised Toilet Seats,B0FN7T9CMD,,"KingPavonini Raised Toilet Seat with Handles for Elderly, 500 lbs Capacity | Adjustable Height & Width, Toilet Seat Risers for Seniors, Handicap & Pregnancy Bathroom Safety, Fits Any Toilet",Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures > Bathroom Safety & Accessibility > Toilets & Toilet Aids > Raised Toilet Seats,US,59.99,16.8,4.8,11.38,0.15,2718.0,246.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FN7T9CMD; brand KingPavonini,https://www.amazon.com/dp/B0FN7T9CMD,57.6,Watch or collect more data,18.01,0.3002,48955.26,87.3,40.8,52.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
