source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0FXG8J58Q,,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,46.99,13.16,3.76,7.77,0.15,981.0,153.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FXG8J58Q; brand TOOLEAGUE
category:Tool Pouches,322568011,Tool Pouches,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Pouches,B08WJHZKKS,,"AWP Tool Pouch, Electrician Tool Pouch, Premium, Professional Multi-Pocket Organizer",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Pouches,US,13.99,3.92,1.12,4.89,0.15,1243.0,1757.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08WJHZKKS; brand AWP
category:Tool Trays,15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,B0CJJD5BZQ,,"Magnetic Socket Organizer Set, 6PCS Socket Holder, 1/4“, 3/8“, 1/2“ Sockets Holds 143 Pieces Magnetic Sockets Trays (Blue&red, 6 Pcs)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,US,36.99,10.36,2.96,9.32,0.15,3273.0,689.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CJJD5BZQ; brand SWANLAKE GARDEN TOOLS
category:Decorative Garden Stools,3563985011,Decorative Garden Stools,"Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",B0H49HFY43,,"zaowofires Solid Wooden Stool,Plant Stand,Step Stool,Light Walnut,10“ H","Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",US,32.99,9.24,2.64,8.26,0.15,1151.0,229.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H49HFY43; brand zaowofires
category:Mop Handles,14253971,Mop Handles,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Mop Handles,B0F8QPYX6Q,,"Hezane Mop Handle for Ocedar,Spin Mop Replacement Head Base Compatible with O Cedar,4-Section Spin Mop Handles and Base for EasyWring Spin Mop",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Mop Handles,US,13.99,3.92,1.12,6.77,0.15,821.0,108.0,4.4,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F8QPYX6Q; brand Hezane
category:Refill Sponges,695492011,Refill Sponges,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Refill Sponges,B0GZVN6KP2,,"Duster Refill for Swiffer Duster, 60 Count, Not Include Handle Dusters | Electrostatic Duster 2 Side 360° Duster Refills, Disposable Multi Surface Dusters for Cleaning, Unscented",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Refill Sponges,US,29.99,8.4,2.4,7.93,0.15,4563.0,1093.0,4.1,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GZVN6KP2; brand AIR U+
category:Replacement Heads,695491011,Replacement Heads,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Replacement Heads,B0FPWQMRHW,,"Mop Heads Replacements for Ocedar, Mop Replace Head for o Cedar Easywring 1 Tank, Spin Mop Replacement Head Mop Heads Include 4 Pack Spin Mop Refills, 1 Pack Scrubber Mop Head and 1 Mop Base",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Replacement Heads,US,14.99,4.2,1.2,8.22,0.15,2586.0,383.0,4.4,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPWQMRHW; brand Henyopet
category:Replacement Mop Pads,23537025011,Replacement Mop Pads,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Replacement Mop Pads,B0CPBS6Z8H,,"Pure Realm 32 Count Disposable Power mop Refills for Swiffer Power Mop | Multi-Surface and PowerMop Wood , Unscented Powermop Clean Replacement Mopping Pad",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Accessories > Replacement Mop Pads,US,19.99,5.6,1.6,7.74,0.15,4136.0,1248.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CPBS6Z8H; brand Pure Realm
category:Dust Mops,23537023011,Dust Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,B011HY1DYO,,"Swiffer Wet Jet Mop, Floor Cleaner for Mopping Wood, Laminate, Tile in Home, Bathroom, Kitchen, All Purpose Multi-Surface Cleaning Set includes 1 Spray Mop, 5 Pads Refill, 1 Fresh Scent Solution",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,US,23.79,6.66,1.9,11.97,0.15,4143.0,2227.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B011HY1DYO; brand Swiffer
category:Sponge Mops,23537024011,Sponge Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,B09S3BY7HM,,"Masthome PVA Sponge Mops for Floor Cleaning with 3 Squeeze Mop Heads | Sectional Stainless Steel Handle, Absorbent Roller Mop for Floors,Tile ,Wood,Wall,Ceiling",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,US,19.99,5.6,1.6,7.73,0.15,485.0,1925.0,3.7,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09S3BY7HM; brand Masthome
