asin,listing_url,title,competitor_type,product_form,monthly_sales,reviews,rating,review_rows_collected
B0FS1YH17C,https://www.amazon.com/dp/B0FS1YH17C,"Premium Beeswax Bread Bags for Sourdough - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Zip to Keep Fresh Bread Bags for Homemade Bread",seed,beeswax bread bag,900.0,197.0,4.4,74
B0CW1ZBP6P,https://www.amazon.com/dp/B0CW1ZBP6P,"50 Pcs Bread Bags for Homemade Bread, Sourdough Paper With Window, 50% Thicker 13.7x8.2x3.7in A Large Bakery Bags Used for Storage Cookies & Snacks, 60 Cute Sealing Stickers With Ties",keyword,disposable bakery bread bag,10000.0,4098.0,4.6,100
B0DPJSTLH5,https://www.amazon.com/dp/B0DPJSTLH5,"Sourdough Proofing Basket Gift Set, 9“ Round and 10“ Oval Banneton Bread Baking Supplies, Sourdough Baskets with Bread Lame, Danish Whish, Bowl Scraper, Sourdough Scraper, and Linen Liner",keyword,banneton/proofing,5000.0,1297.0,4.6,100
B09N3M4BDJ,https://www.amazon.com/dp/B09N3M4BDJ,GRIN BY GRIN- Bread Bags 2 Pack Reusable Zipper Bags for Homemade Bread Sourdough Extra Large Freezer Storage,keyword,linen/cotton bread bag,1000.0,1967.0,4.4,100
B00GK3QTCE,https://www.amazon.com/dp/B00GK3QTCE,Bee‘s Wrap Beeswax Wraps for Bread - Beeswax Bread Wrap for Sourdough & Bread Storage - Plastic Free Made in USA Reusable Natural Food Wrap - Honeycomb,keyword,beeswax wrap,1000.0,3186.0,4.6,100
B0DYF8MC26,https://www.amazon.com/dp/B0DYF8MC26,"2 Packs Safe Double-Layer Fresh-Keeping Bread Storage Container for Homemade Bread and Sourdough,Eco-Friendly Plastic-free Food Storage | Moisture Lock Technology",keyword,bread storage adjacent,50.0,17.0,4.8,13
B0F3HKCFZS,https://www.amazon.com/dp/B0F3HKCFZS,"Bread Bags for Homemade Bread - 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Homesteading Essentials Sourdough Bags with Sealing Zip to Keep Fresh",direct,beeswax bread bag,1000.0,248.0,4.2,100
B0FHWFDZ39,https://www.amazon.com/dp/B0FHWFDZ39,"Beeswax Sourdough Bread Bags for Homemade Bread, 2 Packs XL Reusable Organic Beeswax Linen Cotton Sourdough Bag, Keep Loaves Fresh Longer, Homesteading Essentials",direct,beeswax bread bag,900.0,328.0,4.6,99
B0FB84KH2X,https://www.amazon.com/dp/B0FB84KH2X,"2 PACK Beeswax Sourdough Bread Bags for Homemade Bread, Reusable Cotton Beeswax Bread Bag Portable Waxed Storage All Natural Bees Wax Linen Bag Keep Fresh,13’’×17’’, 02",direct,beeswax bread bag,1000.0,100.0,4.6,49
B0FHH693Z4,https://www.amazon.com/dp/B0FHH693Z4,"2 Pack Beeswax Bread Bags with Zipper, XL(13x17in) Sourdough Bread Storage for Homemade, Freezer Storage Bag to Keep Fresh, Cotton Beeswax Container, Baguette Bag with Liner Kitchen Baking (Off-White)",direct,beeswax bread bag,800.0,222.0,4.4,94
