source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes
category:Utensil Crocks,B0FF96LG8L,B0FF9QM24L,TOPYOKK Stoneware Coffee Bar Utensil Holder Tea & Coffee Spoon & Stirrer Holder for Stir Stick Straw Teaspoon Holder Espresso Spoon Cup Small Utensil Jar Fluted Vertical Stripe (Rustic Brown),"['Kitchen & Dining', 'kitchen']",US,13.95,3.91,1.12,4.46,0.15,1517.0,168.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FF96LG8L; parent B0FF9QM24L; brand TOPYOKK
category:Utensil Crocks,B0H2GRHQN1,B0G5YCDLQK,"Acellegic 3 Sets Lemon Party Decorations, Mediterranean, Blue Yellow | 3 Utensil Holders, Yellow Forks Spoons Knives Kit, Disposable Cutlery Set, for Weddings, Showers, Tables Centerpieces","['Kitchen & Dining', 'kitchen']",US,22.99,6.44,1.84,6.22,0.15,541.0,25.0,4.3,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H2GRHQN1; parent B0G5YCDLQK; brand Acellegic
category:Bread Boxes,B0H29SKG78,B0H29PF95P,"Bread Box with Lid and Handle,Airtight Bread Storage Container with Time Recording,Bread Keeper for Homemade Toast, Bagel, Portable bread boxes for Camping & Outdoor Travel,Not dishwasher safe","['Kitchen & Dining', 'kitchen']",US,22.49,6.3,1.8,8.22,0.15,1500.0,52.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H29SKG78; parent B0H29PF95P; brand Fanlory
category:Bread Boxes,B0H35SLNQC,B0H35J9K8C,"Large Stainless Steel Bread Storage Box with Lid | Large Capacity, Airtight Fresh-Keeping See-through Lid, Time Recording, Perfect for Homemade Loaf, Toast, Bagel and Cookies","['Kitchen & Dining', 'kitchen']",US,21.99,6.16,1.76,8.78,0.15,1193.0,48.0,4.2,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H35SLNQC; parent B0H35J9K8C; brand Idymere
category:Bread Boxes,B09SNYBYFX,B0D7NRVHY4,"Tafura Bread Container, 5.8 L, Airtight BPA-Free Bread Storage Box | Holds homemade loaves, sandwich bread, artisan loaves, bagels, rolls, and other baked favorites.","['Kitchen & Dining', 'kitchen']",US,19.99,5.6,1.6,8.12,0.15,934.0,2404.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09SNYBYFX; parent B0D7NRVHY4; brand Tafura
category:Bread Boxes,B0FJCKSGK9,B0HC354RZL,"FJNATINH Collapsible Batter Bowl - Breading Bowl Shaker with Lid, Sky Blue","['Kitchen & Dining', 'kitchen']",US,19.19,5.37,1.54,5.94,0.15,646.0,173.0,3.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FJCKSGK9; parent B0HC354RZL; brand FJNATINH
category:Bread Boxes,B0996B7L2H,B0H1F2714N,LARS NYSØM Bread Box I Metal Box for long lasting freshness I Bread Bin with bamboo lid usable as cutting board I 13.8x7.7x5.3 In (Nordic Sage),"['Kitchen & Dining', 'kitchen']",US,34.99,9.8,2.8,8.5,0.15,592.0,1705.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0996B7L2H; parent B0H1F2714N; brand LARS NYSØM
category:Bread Boxes,B0CH7BBTBF,B0CR8JL93S,"Tafura Bread Box with Tray, Airtight BPA-Free Bread Storage Container | Built-in pull-out tray provides easy access while keeping baked favorites neatly organized.","['Kitchen & Dining', 'kitchen']",US,24.99,7.0,2.0,8.21,0.15,408.0,720.0,4.5,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CH7BBTBF; parent B0CR8JL93S; brand Tafura
category:Bread Boxes,B099ZN7D8T,B0GQ9ZPLSL,"200Pcs 11 x 18 Inch Bottom Gusset Bread Bags with Ties, Clear Plastic Micro Perforated Bags for Homemade Bread and Bakery Loaf Baugette - Thickened, Freezer Safe","['Kitchen & Dining', 'kitchen']",US,19.99,5.6,1.6,6.72,0.15,374.0,494.0,4.4,0.55,10000,1.0,20.0,50,25.0,20,45,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B099ZN7D8T; parent B0GQ9ZPLSL; brand LESIBAG
category:Bread Boxes,B0B9GSK9PD,B0CPLMT45F,"Reusable Plastic Bread Bags for Homemade Bread - 11‘‘x14‘‘ Clear Bakery Bag with Twist Tie Closure Reduces Moisture,Cello Pastry Storage for Sourdough, Artisan Loaves, Bagels or Buns","['Kitchen & Dining', 'kitchen']",US,12.99,3.64,1.04,5.73,0.15,344.0,501.0,4.6,0.55,10000,1.0,20.0,50,25.0,20,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0B9GSK9PD; parent B0CPLMT45F; brand LESIBAG
