source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes
category:Tool Holsters,553582,Tool Holsters,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,B0FXG8J58Q,,TOOLEAGUE 3Pcs Magnetic Tool Mat with 25Lb Telescoping Magnetic Pickup Pen,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Holsters,US,46.99,13.16,3.76,7.77,0.15,981.0,153.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FXG8J58Q; brand TOOLEAGUE
category:Tool Pouches,322568011,Tool Pouches,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Pouches,B08WJHZKKS,,"AWP Tool Pouch, Electrician Tool Pouch, Premium, Professional Multi-Pocket Organizer",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Pouches,US,13.99,3.92,1.12,4.89,0.15,1243.0,1757.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B08WJHZKKS; brand AWP
category:Tool Trays,15709201,Tool Trays,Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,B0CJJD5BZQ,,"Magnetic Socket Organizer Set, 6PCS Socket Holder, 1/4“, 3/8“, 1/2“ Sockets Holds 143 Pieces Magnetic Sockets Trays (Blue&red, 6 Pcs)",Tools & Home Improvement > Storage & Home Organization > Tool Organizers > Tool Trays,US,36.99,10.36,2.96,9.32,0.15,3273.0,689.0,4.5,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0CJJD5BZQ; brand SWANLAKE GARDEN TOOLS
category:Decorative Garden Stools,3563985011,Decorative Garden Stools,"Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",B0H49HFY43,,"zaowofires Solid Wooden Stool,Plant Stand,Step Stool,Light Walnut,10“ H","Patio, Lawn & Garden > Outdoor Décor > Decorative Garden Stools",US,32.99,9.24,2.64,8.26,0.15,1151.0,229.0,4.6,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H49HFY43; brand zaowofires
category:Dust Mops,23537023011,Dust Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,B0G7G9BGXH,,"ZHAYAO Sweeper Mop System with 3 Reusable Microfiber Mop Pads | Dry and Wet Multi Surface Floor Cleaner, Includes 1 Mop + 3 Washable Refills for Hardwood, Tile, and Laminate Floor Cleaning",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Dust Mops,US,16.99,4.76,1.36,5.77,0.15,2591.0,333.0,4.3,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G7G9BGXH; brand ZHAYAO
category:Sponge Mops,23537024011,Sponge Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,B09S3BY7HM,,"Masthome PVA Sponge Mops for Floor Cleaning with 3 Squeeze Mop Heads | Sectional Stainless Steel Handle, Absorbent Roller Mop for Floors,Tile ,Wood,Wall,Ceiling",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > Sponge Mops,US,19.99,5.6,1.6,7.73,0.15,485.0,1925.0,3.7,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B09S3BY7HM; brand Masthome
category:String Mops,23537022011,String Mops,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > String Mops,B0GT84XZ7T,,Aegishome Self Wringing Twist Mop for Floor Cleaning,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Wet & Dry Mops > String Mops,US,19.99,5.6,1.6,5.95,0.15,270.0,45.0,4.2,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GT84XZ7T; brand AegisHome
category:Angle Brooms,14253831,Angle Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Angle Brooms,B075T3DD13,,Xifando Three-Section Telescopic Aluminum Alloy Rod Long-Handled Broom,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Angle Brooms,US,19.99,5.6,1.6,7.82,0.15,770.0,1277.0,4.3,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B075T3DD13; brand Xifando
category:Hand Brooms,14253841,Hand Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,B0FGXPBVVC,,"Indoor Broom Soft Bristle Brooms - Brooms for Sweeping Indoor Pet Hair, House Broom for Cleaning Hardwood, Tile, and Decking Surfaces Across.（Green）",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,US,13.38,3.75,1.07,5.75,0.15,631.0,250.0,4.4,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FGXPBVVC; brand Zthluyc
category:Push Brooms,14253851,Push Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,B0GY82143R,,3 in 1 Adjustable Small Floor Scrub Brush with Long Handle,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Push Brooms,US,17.99,5.04,1.44,5.77,0.15,1249.0,27.0,4.4,0.55,10000,1.0,20.0,50,25.0,20.0,20.0,75,35,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GY82143R; brand HelpX
