product_form,demand_type,theme,sentiment,mention_count,verified_count,avg_rating,user_profiles,use_scenes,example_asins,latest_review_date,evidence_excerpt
unknown,delight,other,positive,84,73,5.0,family; older_adult,daily_home; gift,B004EHKU50; B004FG0LWC; B00TOMDRSC; B07PJ1QYW6; B07QSWVDY9; B09YWMGZWQ; B09YWPVH56; B09YWXR5SC; B09YWXW8D3; B09YX3WRS7; B0BZBJCRCR; B0CDZJ3B92; B0CQNQ4J2D; B0CV,20260428,Exactly as pictured. My granddaughter will love it!
unknown,uncategorized,other,positive,70,52,4.97,family; older_adult,daily_home; gift; storage; travel,B004EHKU50; B004FG0LWC; B00TOMDRSC; B07PJ1QYW6; B07QSWVDY9; B09YWMGZWQ; B09YWXR5SC; B09YX3WRS7; B0BZBJCRCR; B0CDZJ3B92; B0CV79GD2K; B0CV7GNWFX; B0CV7RBX2G; B0DS,20260514,Very pretty on my counter next to the nesspresso machine. Holds my capsules.
unknown,delight,material_quality,positive,32,23,5.0,older_adult,daily_home; gift; travel,B07QR16Q5R; B09YWXR5SC; B09YX3WRS7; B0BR48TL6V; B0CDZJ3B92; B0CV7RBX2G; B0DS1JZS11; B0DS1L5TZP; B0DS1LBP6G; B0DS1MSDDK; B0DS1NT9YL; B0DS1PJ6R7; B0DS1Q89Y6; B0DS,20260409,What’s not to love about this designer. The weight of the canister is just the right weight and is such a great accent to any counter. It’s just enough “pink” to not look childish. Great product.
unknown,delight,size_fit,positive,29,23,4.83,family; older_adult; professional,daily_home; gift,B004FG0LWC; B00TOMDRSC; B09YWPVH56; B09YX3WRS7; B0BR48TL6V; B0CDZJ3B92; B0CV79GD2K; B0CV7RBX2G; B0DS1JZS11; B0DS1LBP6G; B0DS1MSDDK; B0DS1NT9YL; B0DS1PJ6R7; B0DS,20260412,Love the size of these. Perfect addition to my new set of Rosy Check. My new favorite item.
unknown,uncategorized,other,negative,21,18,1.33,older_adult,daily_home; travel,B004FG0LWC; B07PJ1QYW6; B07QR16Q5R; B09YWPVH56; B09YX3WRS7; B0CV79GD2K; B0CV7GNWFX; B0CV7P7ZY4; B0DS1JZS11; B0DS1LBP6G; B0DS1MSDDK; B0DS1PJ6R7; B0DS1Q89Y6; B0DS,20251009,Why did you pick this product vs others?:Terrible and waste of money! I even doubt if its a real mckenzie
unknown,expected,material_quality,positive,20,17,5.0,older_adult; professional,daily_home; gift; travel,B07PJ1QYW6; B0BR48TL6V; B0CDZJ3B92; B0CQNQ4J2D; B0CV7PVJC4; B0CV7RBX2G; B0DS1JZS11; B0DS1LZFD4; B0DS1M67NS; B0DS1MSDDK; B0DS1NT9YL; B0DS1PJ6R7; B0DS1Q89Y6,20260421,What I expected
unknown,fulfillment_noise,packaging_delivery,positive,20,18,4.95,professional,daily_home; gift; storage,B004FG0LWC; B07PJ1QYW6; B07QSWVDY9; B09YWMGZWQ; B09YWXR5SC; B09YWXW8D3; B09YX3WRS7; B0BR48TL6V; B0CV7GNWFX; B0CV7RBX2G; B0DS1L5TZP; B0DS1MSDDK; B0DS1PJ6R7; B0DS,20260424,I likes the quick delivery everything was packed great and I used to redecorate my kitchen
unknown,uncategorized,value_quantity,negative,18,18,1.67,beginner; older_adult; professional,gift; storage,B00TOMDRSC; B0CV7RBX2G; B0DS1JZS11; B0DS1LBP6G; B0DS1M67NS; B0DS1MSDDK; B0DS1PJ6R7; B0DS1Q89Y6; B0DSJLLM68; B0F4TFXFTD,20251018,"edges had enamel chipped on edges of bottom, ordered twice and the same"
unknown,uncategorized,size_fit,positive,17,15,4.59,older_adult; professional,daily_home,B004FG0LWC; B07QSWVDY9; B09YWPVH56; B09YWXW8D3; B0CDZJ3B92; B0CV7GNWFX; B0DS1JZS11; B0DS1LBP6G; B0DS1MSDDK; B0DS1NT9YL; B0DS1PJ6R7; B0DS1Q89Y6; B0DSJLLM68; B0F5,20260314,Nice wuality. Good size for cookies or candy
unknown,uncategorized,cleaning_maintenance,negative,15,15,1.4,beginner; professional,,B0CV79GD2K; B0DS1MSDDK; B0DS1NT9YL; B0DS1PJ6R7; B0DS1Q89Y6,20251014,The backing was damaged upon arrival. I’m afraid to use and wash and that the backing will come off
unknown,uncategorized,size_fit,negative,15,10,2.0,,daily_home,B004FG0LWC; B0BR48TL6V; B0CDZJ3B92; B0CV7RBX2G; B0DS1PJ6R7; B0DSJLLM68; B0F4TFXFTD,20260417,Not even half the size of what I expected.
combo spoon rest,delight,other,positive,14,10,5.0,,daily_home; gift; storage,B01M1FBYWK,20260428,Loved the spoon rest
