product_form,demand_type,theme,sentiment,mention_count,verified_count,avg_rating,user_profiles,use_scenes,example_asins,latest_review_date,evidence_excerpt
compatible disposable refill,uncategorized,performance,positive,31,0,4.68,professional,,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260503,Works really well
compatible disposable refill,uncategorized,other,negative,23,0,1.7,,,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260327,Don‘t collect dust .jus pushes it around an fly around in the air
compatible disposable refill,expected,value_quantity,positive,22,0,4.77,professional,daily_home,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z; B0G34LYYWP,20260508,These sweepers are very impressive. Just as good as the expensive brand name sweepers but a great value! I would definitely purchase again.
compatible disposable refill,expected,size_fit,positive,21,0,4.67,professional,travel,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260508,"For the price this duster is great. Small packaging, easy assembly. Good for speedy cleaning."
compatible disposable refill,expected,cleaning_maintenance,positive,20,0,4.85,older_adult; professional,daily_home; travel,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z; B0G34LYYWP,20260508,Affordable option for cleaning business.Good quality
compatible disposable refill,expected,ease_of_use,positive,19,0,4.79,family; professional,daily_home,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260508,"For the price this duster is great. Small packaging, easy assembly. Good for speedy cleaning."
compatible disposable refill,expected,performance,positive,19,0,4.79,family; professional,daily_home; travel,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260508,"Works great for keeping surfaces clean, I keep a couple around the house for random dusting"
compatible disposable refill,uncategorized,other,positive,18,0,4.94,family,travel,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260506,Picks up dust well
compatible disposable refill,uncategorized,value_quantity,positive,16,0,4.75,professional,daily_home,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260515,"It works just like a swiffer for a fraction of the cost. I am subtracting one star because it has a bad offgassing smell, but open the vacuum seal packaging and place it in a separate room, and let it air out"
reusable duster refill,delight,cleaning_maintenance,positive,14,0,5.0,family; professional,daily_home; outdoor; storage,B0FPF5HCTM,20260515,"These CC work great and after use you drop in washer, saves a lot from buying cloths that you must throw out."
compatible disposable refill,expected,material_quality,positive,12,0,4.83,older_adult; professional,daily_home,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z; B0G34LYYWP,20260503,Affordable option for cleaning business.Good quality
duster refill kit,delight,performance,positive,12,0,4.83,family; professional,daily_home; storage,B001TQ6IHS,20260325,Great product easy to use reach is perfect for me dusting is good is a little flimsy on taller reach but overall good results
compatible disposable refill,delight,value_quantity,positive,11,0,5.0,family; professional,storage; travel,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260430,"What can I say, this product is awesome!"
duster refill kit,expected,ease_of_use,positive,11,0,4.91,professional,daily_home; storage,B001TQ6IHS,20260425,"These seems little expensive for what they are, if I’m being honest. However, I have purchased them twice because they’re as easy as it gets, they work a long time, and they last for multiple uses.
They’re very portable because it takes up "
compatible disposable refill,delight,cleaning_maintenance,positive,10,0,5.0,professional,daily_home; storage; travel,B0D2DBWVGJ; B0DKFGYJ2Z; B0G34LYYWP,20260430,"Excellent product! Forget about Swifter refills, this product cleans circles around Swifter. And much cheaper too!!"
compatible disposable refill,delight,performance,positive,10,0,5.0,family; professional,daily_home; storage,B0CC1GQZ6Y; B0D2DBWVGJ; B0DKFGYJ2Z,20260428,"We have stone countertops that don‘t get dirty with stains or spills all over, but do get dusty very quickly. I was so tired of wetting a cotton rag, wiping them and drying with another to prevent the circled mineral deposits/lint that etch"
