asin,listing_url,title,competitor_type,product_form,monthly_sales,reviews,rating,review_rows_collected
B0CV7H2DLQ,https://www.amazon.com/dp/B0CV7H2DLQ,"MACKENZIE-CHILDS Glass Sweets Jar with Lid, Pink-and-White Rosy Check | Hand-painted design, decorative kitchen jar with enamel lid, ideal for storing treats, 5“ W x 6.5“ H, 0.5-gallon capacity",seed,combo food storage container,0.0,151.0,4.5,41
B01M1FBYWK,https://www.amazon.com/dp/B01M1FBYWK,"MACKENZIE-CHILDS Enamel Spoon Rest, Black-and-White Courtly Check | Hand-painted design, made from enameled steel, utensil rest and spoon holder for stovetop and kitchen counter use, 8.5“ L",keyword,combo spoon rest,300.0,810.0,4.7,100
B0G2YFD1GM,https://www.amazon.com/dp/B0G2YFD1GM,"MACKENZIE-CHILDS Cutting Boards Set, Brown-and-White Mocha Check | Decorative cutting boards, made from tempered glass, includes small (10“ x 8“) and large (15.75“ x 12“) sizes, set of 2",keyword,combo cutting board,300.0,438.0,4.5,100
B004HICOPA,https://www.amazon.com/dp/B004HICOPA,"MACKENZIE-CHILDS Tea Kettle, 2 Quarts, Black-and-White Courtly Check | Hand-painted design, made from enameled steel with a wooden handle, ideal for serving coffee, tea, and other hot beverages",keyword,stovetop kettle,200.0,1694.0,4.6,100
B07G1DLLHC,https://www.amazon.com/dp/B07G1DLLHC,"MACKENZIE-CHILDS Glass Cookie Jar with Lid, Black-and-White Courtly Check | Hand-painted design, decorative kitchen jar with enamel lid, ideal for storing treats, 6“ W x 8“ H, 1-gallon capacity",direct,combo jar,100.0,304.0,4.4,58
B07QMTNWHV,https://www.amazon.com/dp/B07QMTNWHV,"MACKENZIE-CHILDS Enamel Utensil Holder, Blue-and-White Royal Check",keyword,item container,100.0,809.0,4.8,99
B07QM72ZXL,https://www.amazon.com/dp/B07QM72ZXL,"MACKENZIE-CHILDS Enamel Canister, Large, Black-and-White Courtly Check",keyword,food storage container,100.0,411.0,4.8,78
B0DSJLHJCW,https://www.amazon.com/dp/B0DSJLHJCW,"MACKENZIE-CHILDS Farmhouse Oil Cruet, Black-and-White Courtly Check | Hand-applied design, made from ceramic, oil-dispenser bottle for kitchen use, 2.25“ dia. x 9“ H, 1-cup capacity",keyword,combo bottle,100.0,126.0,4.2,47
B0F5SNL928,https://www.amazon.com/dp/B0F5SNL928,"MACKENZIE-CHILDS Glass Soap Pump, Black-and-White Courtly Check | Hand-applied design, liquid soap dispenser for bathroom or kitchen, 3' W x 3' L x 8.5' H",keyword,combo soap dish,100.0,43.0,4.6,3
B0DS1QH1VF,https://www.amazon.com/dp/B0DS1QH1VF,"MACKENZIE-CHILDS Ceramic Salt & Pepper Set, Black-and-White Courtly Check | Hand-applied design, farmhouse salt and pepper shaker set, 2“ dia. x 3.5“ H (each)",keyword,combo food shaker,100.0,56.0,4.7,10
